feature,importance
TdiaToEnd,0.12876579
dsdc_8,0.07499884
T_peak_a,0.05465073
ppg3_histogram_down_8,0.0532189
dsdc_9,0.05005879
bcda,0.034004226
vpg_histogram_down_0,0.02804268
ppg4_histogram_down_3,0.027405059
vpg_histogram_down_4,0.022637466
TdiaRise,0.02204245
S3_norm,0.019691788
T_peak_e_norm,0.019019779
S4_norm,0.018671678
ppg4_histogram_down_6,0.013192883
T_d_norm,0.013124594
ppg_histogram_down_4,0.013076304
Ts,0.011688216
T_d,0.011354072
ppg_histogram_down_5,0.010570824
DWdivSW75,0.010059385
TNegSteepest,0.009714606
apg_max_neighbor_mean_0,0.009435239
ppg3_histogram_down_7,0.0090276105
vpg_max_neighbor_mean_0,0.008650754
apg_histogram_down_6,0.008202316
ppg_histogram_down_1,0.008077182
dsdc_4,0.007847704
ppg_histogram_down_0,0.007670241
dsdc_11,0.0074064685
AUCsys_norm,0.0071917116
apg_histogram_down_3,0.0067980746
AI,0.006640836
T_peak_e,0.006565869
usdc_5,0.006408949
apg_histogram_down_5,0.0055301418
ppg4_histogram_down_4,0.004848239
ppg_histogram_down_2,0.0048442106
ppg3_histogram_down_9,0.004753587
dsdc_6,0.0044658445
ppg_mean_cycles_match_peak_59,0.004398659
apg_c,0.004383635
ppg3_histogram_down_5,0.0043373792
T_b,0.004288948
Td,0.0042465813
TSystoDiaRise,0.004237175
vpg_min_0,0.004209465
vpg_histogram_up_1,0.0042019836
SW50_norm,0.004185554
DW50,0.004149932
apg_e,0.0041268626
ratio_apg_c,0.003998741
apg_histogram_down_7,0.0038560454
SteepDiaRise,0.0038179464
apg_histogram_down_1,0.003731669
ppg_histogram_down_3,0.0036881545
apg_a,0.0036177246
dsdc_13,0.0035300022
vpg_histogram_down_2,0.0035202897
SWaddDW75_norm,0.0034837634
T_peak_b_norm,0.0032975245
dsdc_1,0.003202028
dsdc_7,0.0030192598
ratio_apg_e,0.0029474904
AUCdia_norm,0.0028842587
ppg_histogram_down_7,0.002676432
ppg_c,0.0026692022
ratio_ppg_e,0.002527344
ppg4_max_0,0.0024973464
usdc_4,0.0024701045
ratio_apg_d,0.0023949349
vpg_histogram_down_5,0.002390863
sdoo,0.0023655442
usdc_0,0.0023442162
apg_d,0.0023300804
dsdc_3,0.0023182023
ppg_max_neighbor_mean_0,0.0022072953
Tsteepest,0.0021413716
SQI_kurtosis,0.0021034523
TdiaRise_norm,0.002092628
Tc,0.0020571714
