feature,sp_correlation,dp_correlation,weighted_correlation
ppg3_histogram_down_8,0.3697982306925457,0.3671296623009168,0.36913108859463845
TNegSteepest_norm,0.33166288355038015,0.16818226396607802,0.2907927286543046
AUCdia_norm,0.37836301920886684,0.011633129633742616,0.2866805468150858
AUCsys_norm,0.3783630192088669,0.011633129633742412,0.28668054681508576
usdc_0,0.3134395561690904,0.19608541946499183,0.2841010219930658
ppg_histogram_down_2,0.3066807254369453,0.1642690423030188,0.2710778046534637
T_peak_e,0.27215861639416217,0.25027569711078484,0.2666878865733178
S4_norm,0.31321068716167916,0.12028150244561932,0.26497839098266424
S3_norm,0.313210687161679,0.12028150244561933,0.26497839098266407
T_peak_c_norm,0.2703457249121875,0.17089434663109024,0.2454828803419132
T_peak_b_norm,0.3065474062262407,0.06033502787971198,0.24499431163960853
ppg_mean_cycles_match_peak_59,0.2695453524780895,0.16241237213114404,0.2427621073913531
SW50_norm,0.2729315884983882,0.14606010598399252,0.2412137178697893
dsdc_11,0.24335268696119686,0.18265382827785517,0.22817797229036144
dsdc_13,0.24666145774339368,0.15804335854240362,0.22450693294314616
dsdc_14,0.2448624780451092,0.1477734870454001,0.22059023029518193
T_peak_b,0.28755027770467095,0.013373070347367412,0.21900597586534507
T_peak_a_norm,0.23995657453268146,0.14590492820387116,0.21644366295047887
vpg_histogram_down_3,0.2753206426920653,0.011519943231674006,0.20937046782696747
sdoo,0.20879552155893386,0.2108507098063884,0.2093093186207975
apg_histogram_down_5,0.23040600896842447,0.138270764711191,0.20737219790411612
T_peak_d,0.21663069767512613,0.1769167341971492,0.2067022068056319
ppg_max_neighbor_mean_0,0.22866092381628256,0.1392272510972438,0.20630250563652286
TNegSteepest,0.27436256386763286,0.0012528756324551105,0.20608514180883844
TdiaRise_norm,0.24756766407034575,0.06997039180827212,0.20316834600482736
S4,0.2271687783071457,0.12678720165639637,0.20207338414445838
apg_histogram_down_3,0.258035989264156,0.033258751930125556,0.2018416799306484
SQI_kurtosis,0.19922679579524893,0.20455652028448346,0.20055922691755756
apg_b,0.2453311346087746,0.06115616910928723,0.19928739323390277
ppg_histogram_down_0,0.1975870925911823,0.18009314994797224,0.19321360693037978
apg_histogram_down_6,0.25355090011231735,0.010951812754445735,0.19290112827284947
dsdc_1,0.1977611745822654,0.15212856985452283,0.18635302340032975
ppg_c,0.19018971044737293,0.163151905596923,0.18343025923476047
SteepDiaRise,0.23185550198338534,0.03016227857806316,0.1814321961320548
dsdc_9,0.1735310012026679,0.20227187182730452,0.18071621885882708
T_peak_e_norm,0.19756145911857523,0.127807060950038,0.18012285957644092
apg_a,0.2002460294853106,0.10902767678511392,0.17744144131026143
vpg_max_neighbor_mean_0,0.17250925274976528,0.17078396306407057,0.17207793032834162
DWdivSW25,0.21894890572754858,0.023271643955199022,0.17002959028446119
usdc_5,0.1826134824515252,0.11763128022603495,0.16636793189515264
ppg4_histogram_down_4,0.2048304983065201,0.047294478826169765,0.1654464934364325
ppg3_histogram_down_9,0.20342007801118506,0.050496950453352674,0.16518929612172698
ppg4_histogram_down_6,0.1916070093390245,0.08120960206637859,0.16400765752086302
vpg_histogram_up_1,0.1542085770510079,0.19072371844480612,0.16333736239945745
TdiaRise,0.15609230120162948,0.1822238761587846,0.16262519494091826
SWaddDW75_norm,0.16686605186465184,0.14204863060429943,0.16066169654956372
DWdivSW75,0.21232531418410716,0.004769392227310803,0.16043633369490806
dsdc_18,0.19300609819038647,0.059061213952902536,0.15951987713101548
ppg_b,0.19819979331796472,0.02395098978228736,0.1546375924340454
vpg_histogram_down_0,0.15073265912467526,0.145196939135175,0.14934872912730018
usdc_4,0.15588978961137348,0.12397570519513589,0.1479112685073141
ppg_min_0,0.1660685560081869,0.07133664985664201,0.14238557947030067
dsdc_2,0.13938546118194983,0.14834999230888757,0.14162659396368427
Ts,0.1808998137010186,0.023409076767774626,0.1415271294677076
TdiaToEnd,0.14879817824886282,0.1149418850055184,0.14033410493802673
T_peak_a,0.18354462267880836,0.009514637180395477,0.14003712630420515
vpg_histogram_down_2,0.1471008668744567,0.10921212998500184,0.137628682652093
T_c,0.12188271178146007,0.17122609917109785,0.13421855862886953
vpg_min_0,0.1392926087127605,0.09100685082176029,0.12722116924001045
apg_histogram_down_7,0.0963944446379174,0.21715524037286701,0.1265846435716548
apg_histogram_down_1,0.15856391146863036,0.023379591408939672,0.12476783145370769
Td,0.11045716293134748,0.16425217304175008,0.12390591545894813
ppg_histogram_down_4,0.06574507207767151,0.293541135497141,0.12269408793253889
dsdc_3,0.10428176369356869,0.16195892616827934,0.11870105431224635
dsdc_8,0.09062369863613134,0.19767037219984324,0.11738536702705932
SQI_skew,0.07649974576428151,0.23736836376545384,0.1167169002645746
ppg4_max_0,0.11250425810551029,0.12161049015345705,0.11478081611749698
TSystoDiaRise,0.0726304431484528,0.23603400842727398,0.11348133446815808
apg_max_neighbor_mean_0,0.06747246683831777,0.22941682814669476,0.10795855716541203
hr_0,0.07640011639164186,0.18252761784666344,0.10293199175539726
ppg_histogram_down_5,0.03220767482180279,0.3033395029322284,0.09999063184940919
dsdc_5,0.0668452274401153,0.1978498211648332,0.09959637587129477
ppg_histogram_down_6,0.07905299222317982,0.15675073195496964,0.09847742715612728
dsdc_4,0.07042352061359122,0.1741596329359703,0.096357548694186
ppg_histogram_down_3,0.0983510759719955,0.08622975980077409,0.09532074692919014
Tc,0.06886266574729798,0.16403707839524787,0.09265626890928544
T_e_norm,0.08830052802925938,0.09925907453490865,0.09104016465567169
apg_c,0.07106105461170859,0.14788192446623233,0.09026627207533952
T_b_norm,0.06602513974733196,0.15937519769960595,0.08936265423540046
ppg3_histogram_down_5,0.11180215071490698,0.014140813847521971,0.08738681649806074
T_d,0.06628442544990226,0.15063951258347538,0.08737319723329554
T_d_norm,0.06224685446052615,0.15440199426961337,0.08528563941279796
dsdc_6,0.04156611931041424,0.2039824426884686,0.08217020015492783
ppg_histogram_down_1,0.08707514029620121,0.06730553892287267,0.08213273995286907
ppg4_histogram_down_3,0.03723095772802718,0.19392688184303924,0.0764049387567802
DW25,0.09006290121158879,0.03279149500290788,0.07574504965941857
apg_e,0.09292286205234396,0.02363266261514196,0.07560031219304346
apg_histogram_down_0,0.09379857408654685,0.012264940051964098,0.07341516557790116
DW50,0.05984174479140734,0.11146284726472298,0.07274702040973625
apg_d,0.03807442402735199,0.15590528629366837,0.06753213959393109
ppg4_histogram_up_3,0.0684019029565934,0.05997960034530347,0.06629632730377091
vpg_histogram_up_0,0.07058081422810832,0.05200788934229762,0.06593758300665564
bcda,0.06585735623492624,0.06602560418971029,0.06589941822362225
usdc_3,0.046234386060646546,0.09777637965977978,0.05911988446042985
AI,0.06090558484062998,0.05302868298115946,0.05893635937576235
ppg3_histogram_down_7,0.07639622584563455,0.003550932088864817,0.05818490240644211
T_a_norm,0.05948577630839041,0.04572032997047248,0.056044414723910925
dsdc_7,0.005607286076372744,0.20028590748795758,0.05427694142926895
ppg_histogram_down_7,0.05288834879910513,0.05624278659535326,0.05372695824816716
vpg_histogram_down_4,0.04220894411185326,0.0575271081234918,0.04603848511476289
