feature,importance
AUCsys_norm,0.21310942
ppg3_histogram_down_8,0.11019464
S3_norm,0.04383786
TNegSteepest_norm,0.04148452
ppg4_max_0,0.03729186
T_peak_a_norm,0.03296885
T_peak_b_norm,0.028995046
T_peak_e_norm,0.0256007
T_peak_a,0.018479586
ppg_histogram_down_2,0.016799675
TSystoDiaRise,0.015600447
apg_max_0,0.014006195
TdiaRise,0.010601683
SteepDiaRise,0.0104545485
apg_histogram_down_3,0.010107192
T_peak_e,0.0098653985
apg_c,0.009027745
sdoo,0.008612924
T_c,0.0077509633
dsdc_15,0.0072110393
vpg_histogram_down_0,0.007102497
TdiaToEnd,0.00704875
Ts_norm,0.00621386
Td,0.006138974
vpg_histogram_down_4,0.0059453603
SQI_skew,0.0057391897
dsdc_4,0.0054453854
S4,0.005428719
dsdc_17,0.0052352413
ppg3_histogram_up_3,0.005095178
apg_histogram_down_6,0.0047588474
TNegSteepest,0.0047312486
T_d_norm,0.004527198
usdc_2,0.0044793785
ratio_apg_e,0.0043153996
ppg3_histogram_up_4,0.0042366576
ppg4_histogram_up_4,0.0041533876
vpg_min_0,0.004104719
ppg4_histogram_down_3,0.0040007415
SW25,0.003990179
DW75_norm,0.0039478
ppg3_histogram_down_5,0.0039271205
vpg_histogram_down_2,0.0038752
ppg4_histogram_down_4,0.003872563
SWaddDW75,0.003849617
dsdc_1,0.003762711
DWdivSW25,0.0036893664
DWdivSW50,0.003653269
apg_d,0.0036304516
T_d,0.0035870685
dsdc_2,0.0034731822
apg_histogram_down_7,0.0034563341
AUCsys,0.0032932248
Tsteepest,0.0032111402
apg_max_neighbor_mean_0,0.0032037785
ratio_apg_b,0.0031466717
dsdc_6,0.0031093778
T_b,0.003106997
ppg3_max_neighbor_mean_0,0.0030974085
dsdc_12,0.0030271136
T_peak_c_norm,0.00301539
T_e,0.002933335
DW50_norm,0.0029188974
apg_histogram_down_4,0.0026651334
apg_b,0.002600876
bd,0.0025116175
DW50,0.0024870685
T_e_norm,0.002467575
AI,0.0024177071
dsdc_7,0.0023941966
ratio_apg_c,0.0022539971
apg_histogram_down_0,0.0022169745
ppg3_max_0,0.0021999285
SQI_kurtosis,0.0021958747
dsdc_14,0.0021165784
DWdivSW75,0.0021148697
ratio_apg_d,0.002075052
SWaddDW50,0.002069983
Ratio,0.0020408754
ppg_mean_cycles_match_peak_59,0.0020252774
